2025-04-18T21:36:55.613Z - Iniciando extração de posts do arquivo criar-posts.json...
2025-04-18T21:36:55.615Z - Encontrados 33 posts para extrair.
2025-04-18T21:36:55.628Z - Post extraído e salvo como: 2025-05-02-a-evolucao-dos-videogames-da-atari-ao-playstation.json
2025-04-18T21:36:55.629Z - Post extraído e salvo como: 2025-05-03-o-impacto-cultural-dos-jogos-de-rpg-final-fantasy-e-alem.json
2025-04-18T21:36:55.629Z - Post extraído e salvo como: 2025-05-04-o-fenomeno-dos-esports-de-jogos-simples-a-competicoes-globais.json
2025-04-18T21:36:55.630Z - Post extraído e salvo como: 2025-05-05-videogames-e-saude-mental-beneficios-e-riscos.json
2025-04-18T21:36:55.631Z - Post extraído e salvo como: 2025-05-06-o-papel-das-mulheres-na-industria-de-videogames.json
2025-04-18T21:36:55.631Z - Post extraído e salvo como: 2025-05-07-a-revolucao-dos-jogos-em-3d-como-mudou-a-experiencia-do-jogador.json
2025-04-18T21:36:55.632Z - Post extraído e salvo como: 2025-05-08-os-jogos-mais-vendidos-de-todos-os-tempos-um-olhar-sobre-os-best-sellers.json
2025-04-18T21:36:55.632Z - Post extraído e salvo como: 2025-05-09-a-relacao-entre-videogames-e-cinema-jogos-que-viraram-filmes.json
2025-04-18T21:36:55.633Z - Post extraído e salvo como: 2025-05-10-retro-gaming-o-renascimento-dos-classicos.json
2025-04-18T21:36:55.634Z - Post extraído e salvo como: 2025-05-11-marketing-de-videogames-estrategias-que-transformaram-lancamentos.json
2025-04-18T21:36:55.634Z - Post extraído e salvo como: 2025-05-12-a-importancia-da-trilha-sonora-nos-videogames.json
2025-04-18T21:36:55.635Z - Post extraído e salvo como: 2025-05-13-os-melhores-consoles-de-todos-os-tempos-uma-analise-historica.json
2025-04-18T21:36:55.635Z - Post extraído e salvo como: 2025-05-14-minecraft-como-um-jogo-simples-mudou-o-mundo.json
2025-04-18T21:36:55.635Z - Post extraído e salvo como: 2025-05-15-jogos-independentes-a-revolucao-criativa-da-industria.json
2025-04-18T21:36:55.636Z - Post extraído e salvo como: 2025-05-16-o-futuro-da-realidade-virtual-nos-videogames.json
2025-04-18T21:36:55.636Z - Post extraído e salvo como: 2025-05-17-microtransacoes-e-jogos-o-debate-sobre-a-etica.json
2025-04-18T21:36:55.644Z - Post extraído e salvo como: 2025-05-18-a-influencia-dos-videogames-na-educacao.json
2025-04-18T21:36:55.644Z - Post extraído e salvo como: 2025-05-19-a-historia-por-tras-dos-jogos-de-terror-como-eles-evoluiram.json
2025-04-18T21:36:55.645Z - Post extraído e salvo como: 2025-05-20-narrativa-nos-videogames-a-importancia-da-historia.json
2025-04-18T21:36:55.645Z - Post extraído e salvo como: 2025-05-21-cross-platform-gaming-uma-nova-era-de-conectividade.json
2025-04-18T21:36:55.646Z - Post extraído e salvo como: 2025-05-22-a-luta-contra-a-pirataria-nos-videogames.json
2025-04-18T21:36:55.646Z - Post extraído e salvo como: 2025-05-23-jogos-acessiveis-a-inclusao-de-jogadores-com-necessidades-especiais.json
2025-04-18T21:36:55.647Z - Post extraído e salvo como: 2025-05-24-o-impacto-dos-videogames-no-desenvolvimento-de-habilidades-cognitivas.json
2025-04-18T21:36:55.647Z - Post extraído e salvo como: 2025-05-25-as-mais-iconicas-franchises-de-videogames-resident-evil-e-sonic.json
2025-04-18T21:36:55.657Z - Post extraído e salvo como: 2025-05-26-o-que-faz-um-jogo-ser-classico.json
2025-04-18T21:36:55.658Z - Post extraído e salvo como: 2025-05-27-generos-de-videogames-do-aventura-ao-puzzle.json
2025-04-18T21:36:55.660Z - Post extraído e salvo como: 2025-05-28-o-comercio-de-videogames-usados-um-mercado-em-crescimento.json
2025-04-18T21:36:55.661Z - Post extraído e salvo como: 2025-05-29-desenvolvimento-de-jogos-dos-bastidores-a-lancamento.json
2025-04-18T21:36:55.667Z - Post extraído e salvo como: 2025-05-30-a-historia-dos-consoles-portateis-game-boy-a-nintendo-switch.json
2025-04-18T21:36:55.668Z - Post extraído e salvo como: 2025-05-31-a-influencia-da-tecnologia-em-videogames-do-8-bit-ao-4k.json
2025-04-18T21:36:55.668Z - Post extraído e salvo como: 2025-06-01-generos-de-videogames-do-aventura-ao-puzzle.json
2025-04-18T21:36:55.669Z - Post extraído e salvo como: 2025-06-02-o-comercio-de-videogames-usados-um-mercado-em-crescimento.json
2025-04-18T21:36:55.670Z - Post extraído e salvo como: 2025-06-03-desenvolvimento-de-jogos-dos-bastidores-a-lancamento.json
2025-04-18T21:36:55.670Z - Extração concluída. 33 de 33 posts foram extraídos com sucesso.
2025-04-18T21:36:55.670Z - Processamento concluído.
